ID,Word,POS,Lemma,Frequency
6761,falkirk,NNP,falkirk,76
6762,ibinaba,VBTS,baba,55
6763,scottish,CCB,scottish,59
6764,spl),NNPA,spl),8
6765,mabigong,PRP_CCP,bigo,24
6766,talunin,VBOF,talunin,66
6767,kilmarnock,CCB,kilmarnock,88
6768,naglaban,VBTS,lab,39
6769,0-0,CDB,0-0,23
6770,tabla,PMS,tabla,31
6771,rugby,CCT,rugby,37
6772,"""park,""",NNP,"""park,""",36
6773,larong,PMC,laro,169
6774,nakakitaan,DTC,kita,22
6775,tira,NNC,tira,60
6776,gowl,NNC,gowl,95
6777,namumunong,PMC,namumunong,51
6778,"""koalisyon,""",NNC,"""koalisyon,""",59
6779,barisan,DTC,barisan,13
6780,nasional,NNP,nasional,8
6781,nagsuhestyon,NNP,suhestyon,6
6782,pagpaparusa,CCT,pagpaparusa,15
6783,nagpapalabas,CCT,labas,66
6784,materyal,NNC,materyal,203
6785,kontrobersyal,CCT,kontrobersyal,104
6786,"konta-gobyerno.""""",JJD,"konta-gobyerno.""""",5
6787,napunta,VBTS,punta,138
6788,baitang,RBI_CCP,baitang,65
6789,2005.,CDB,2005.,33
6790,pinakahuling,JJCS_JJD_CCP,huli,132
6791,"""ibababa,""",VBTF,"""ibababa,""",18
6792,"""at,""",CCA,"""at,""",92
6793,"""kinakailangan,""",RBI,"""kinakailangan,""",17
6794,mabagal,CCA,bagal,111
6795,makabagong,JJD_CCP,bago,139
6796,elektronikong,JJD_CCP,elektronikong,20
6797,midya.,NNC,midya.,4
6798,kalamangan,NNC,lamang,24
6799,linyang,NNC_CCP,linya,47
6800,nagtatanggol,NNP_CCP,tanggol,62
6801,"""koponan,""",CCB,"""koponan,""",90
6802,huling-bambang,CCB,bambang,25
6803,mapanginis,PMS,tinis,16
6804,paglusob.,RBW,paglusob.,10
6805,ika-77,JJN,ika-77,11
6806,bola,NNC,bola,150
6807,"""net,""",PMS,"""net,""",68
6808,foul,NNC,foul,29
6809,golkeeper,JJD,golkeeper,17
6810,kilmarnock.,NNC,kilmarnock.,6
6811,"""posesyon,""",NNC,"""posesyon,""",15
6812,pantay,DTC,pantay,59
6813,bahagi.,NNP,bahagi.,11
6814,ikalabindalawang,JJN_CCP,ikalabindalawang,18
6815,"""nasakop,""",CCP,"""nasakop,""",13
6816,tagapamahala,NNC,tagapamahala,187
6817,jimmy,NNP,jimmy,2
6818,"""calderwood,""",NNP,"""calderwood,""",6
6819,nagsalita,NNP,salita,324
6820,karanasan:,CCT,karanasan:,27
6821,napakahabang,CCT,habang,34
6822,gintong,PRI_CCP,ginto,35
6823,manalo,NNC,manalo,300
6824,ika-86,JJN,ika-86,25
6825,pumatak,DTC,patak,21
6826,ryan,NNP,ryan,52
6827,flynn,CCT,flynn,17
6828,manlalaro,NNC,manlalaro,280
6829,batawan,NNC,batawan,17
6830,nakapasok,VBTS,pasok,98
6831,yarda.,VBTS,yarda.,6
6832,pinutol,PMC,putol,23
6833,krus,NNP,krus,34
6834,baras,CCP,baras,11
6835,pagsisikap,VBW,sikap,417
6836,craig,DTP,craig,9
6837,bryson.,NNP,bryson.,5
6838,mananatili,LM,tili,131
6839,kagaya,LM,gaya,116
6840,"""kawnter-atak,""",CCT,"""kawnter-atak,""",6
6841,"""iyon,""",PRO,"""iyon,""",324
6842,ika-92,CCA,ika-92,23
6843,ika-93,JJN,ika-93,45
6844,gatuldok,CCT,gatuldok,15
6845,flynn.,RBF,flynn.,6
6846,"""mo,""",VBTR_CCP,"""mo,""",62
6847,tatapatin,PRS,tapat,11
6848,"""kita,""",PMC,"""kita,""",11
6849,ipinapayo,RBF,payo,15
6850,kaninuman.,VBTS,kaninuman.,6
6851,steven,NNP,steven,42
6852,"""pressley,""",NNP,"""pressley,""",3
6853,"""falkirk,""",CCB,"""falkirk,""",15
6854,radio,NNP,radio,78
6855,laro:,NNC,laro:,17
6856,madamdaming,PMC,dami,68
6857,nabigo,JJCC_CCP,bigo,100
6858,"""masakit,""",PMC,"""masakit,""",19
6859,mahihingi,JJD,hingi,26
6860,manlalarong,NNC_CCP,manlalarong,35
6861,"ito.""""",NNC,"ito.""""",51
6862,calderwood:,DTP,calderwood:,16
6863,titingnan,PMS,titingnan,50
6864,"ideya.""""",RBQ,"ideya.""""",4
6865,napag-usapan,CCP,napag-usapan,17
6866,"""pagnanais,""",NNC,"""pagnanais,""",15
6867,"""pagsisikap,""",PRP,"""pagsisikap,""",15
6868,"""kasigasigan,""",DTCP,"""kasigasigan,""",10
6869,kasaganaan,NNC,sagana,8
6870,pressley,NNP,pressley,23
6871,"""tagapamahala,""",NNP,"""tagapamahala,""",38
6872,natanong,NNP,tano,28
6873,papel:,VBTS,papel:,16
6874,ikinasisiya,PRS_CCP,ikinasisiya,17
6875,matiyak,NNPA,tiyak,76
6876,ulan,NNC,ulan,153
6877,rumaragasang,JJD_CCP,ragasa,14
6878,bangin,NNC,bangin,17
6879,"""chongqing,""",NNP,"""chongqing,""",11
6880,mangangakyat,NNC,mangangakyat,17
6881,ipinagbabawal,VBTR,bawal,109
6882,tanzhangxia,NNP,tanzhangxia,10
6883,gorge,NNP,gorge,9
6884,gabay.,NNC,gabay.,6
6885,35,CDB,35,109
6886,16,CDB,16,115
6887,nailigtas,NNC,ligtas,96
6888,"""pangangalaga,""",NNC,"""pangangalaga,""",19
6889,ito'y,PRO,ito'y,183
6890,karanasan.,PMS,karanasan.,5
6891,400,PMC,400,72
6892,pagliligtas,NNC,ligtas,110
6893,tumutulong,VBTR_VBAF,tulo,209
6894,nakaligtas.,VBW,nakaligtas.,18
6895,kalye,NNC,kalye,146
6896,umulan,VBAF,ulan,21
6897,unos,JJC,unos,53
6898,taga-nayon,JJD,nayon,38
6899,pamsamantalang,VBAF,pamsamantalang,18
6900,bantay,DTCP,bantay,28
6901,"""sabado,""",NNC,"""sabado,""",122
6902,"""mayo,""",NNP,"""mayo,""",98
6903,bingu,CCB,bingu,19
6904,wa,NNPA,wa,30
6905,"""mutharika,""",NNP,"""mutharika,""",24
6906,malawi,CCB,malawi,16
6907,bakla,DTCP,bakla,52
6908,nabigyan,VBTS,nabigyan,99
6909,parusang,VBOF,parusang,249
6910,pagkakakulong,NNC,kulong,76
6911,salang,NNC_CCP,salang,10
6912,sodomya,CDB,sodomya,9
6913,kahalayan.,NNC_CCP,kahalayan.,2
6914,pagkamatay.,NNC,pagkamatay.,16
6915,misayl,CCP,misayl,218
6916,ipinaputok,VBTR,putok,23
6917,"""drone,""""""",FW,"""drone,""""""",27
6918,pakistan.,NNP,pakistan.,15
6919,pinag-iisipan,VBRF,pinag-iisipan,6
6920,tinamaan,VBOF,tama,44
6921,pangkalabang,RBL,pangkalabang,27
6922,"""drone,""",CCT,"""drone,""",27
6923,waziristan,NNP,waziristan,58
6924,"""pakistan,""",CCT,"""pakistan,""",21
6925,dosena,PMC,dosena,78
6926,militante,NNC,militante,113
6927,patay.,VBTS,patay.,24
6928,ulang,NNC,ulang,11
6929,pader,CCB,pader,116
6930,umagos,DTC,umagos,35
6931,pababa,NNC,baba,108
6932,bangin.,NNC,bangin.,4
6933,bagaman,CCT,bagaman,329
6934,"""pagkawala,""",NNC,"""pagkawala,""",38
6935,pamana,NNC,pamana,61
6936,magpapa-alab,PRS,magpapa-alab,26
6937,relihiyon.,NNC,relihiyon.,8
6938,"""huwebes,""",NNP,"""huwebes,""",182
6939,africa,NNP,africa,43
6940,kinundena,LM,kinundena,9
6941,kakaibang,VBH,iba,111
6942,pangungusap,VBTS,pangungusap,74
6943,kinukondena,PMC,kinukondena,27
6944,pag-aresto,CCR,aresto,53
6945,"""konstitusyon,""""""",CCT,"""konstitusyon,""""""",11
6946,malawi.,CCT,malawi.,5
6947,bumawi,VBAF,bawi,24
6948,palitan,PMC,palit,109
6949,"""ito,""""""",PRO,"""ito,""""""",206
6950,kanluran.,CCT,kanluran.,11
6951,iwinaksi,JJD_CCP,waksi,24
6952,homosekswalidad,NNPA,homosekswalidad,75
6953,pinapalaya,VBTS,laya,10
6954,makataong,PRI_CCP,tao,46
6955,pamamaraan.,CCT,pamamaraan.,5
6956,naiilabas.,VBTR,naiilabas.,6
6957,al-libi,NNP,al-libi,8
6958,al-qaeda.,NNC,al-qaeda.,6
6959,pinatawan,VBTS,pataw,23
6960,kalaswaan,NNC,laswa,21
6961,natural,NNP,natural,63
6962,"""gawi,""",NNC,"""gawi,""",9
6963,pagsakop,CCB,sakop,10
6964,"""monjeza,""",NNP,"""monjeza,""",3
6965,"""26,""",FW,"""26,""",20
6966,tiwonge,CDB,tiwonge,5
6967,"""chimbalanga,""",PMC,"""chimbalanga,""",5
6968,"""20,""",NNP,"""20,""",32
6969,seremonya,VBAF,seremonya,94
6970,pakikipagtipan,VBW,pakikipagtipan,18
6971,isa't,CCT,isa't,55
6972,tres-4,NNP,tres-4,43
6973,magaan,JJD,maga,47
6974,jupiter,JJC,jupiter,27
6975,napakababang,CCA,napakababang,27
6976,densidad,VBH,densidad,27
6977,0.2,NNC,0.2,23
6978,gramo,CCP,gramo,19
6979,kada,NNC,kada,212
6980,kubikong,PMP,kubiko,15
6981,"""sentimetro,""",CDB,"""sentimetro,""",14
6982,kakaunti,JJD,kaunti,49
6983,tabon,CCP,tabon,14
6984,alak.,CCB,alak.,7
6985,planeta,NNC,planeta,114
6986,transatlantic,VBOF,transatlantic,16
6987,exoplanet,CCT,exoplanet,11
6988,tres),NNP,tres),1
6989,1.7,NNP,1.7,5
6990,planetang,RBQ,planeta,43
6991,jupiter.,DTC,jupiter.,3
6992,ekstrasolar,FW,ekstrasolar,14
6993,eksoplaneta,NNC,eksoplaneta,19
6994,nadiskubreng,VBTS_CCP,diskubre,25
6995,bituin,CCB,bituin,70
6996,gsc,NNPA,gsc,17
6997,"""02620-00648,""",CDB,"""02620-00648,""",12
6998,"""1,435""",PMC,"""1,435""",9
6999,layo.,NNC,layo.,11
7000,layong,NNC_CCP,layo,71
7001,7,CCP,7,148
7002,4.5,CCA,4.5,47
7003,"""milya),""",NNP,"""milya),""",20
7004,"""1,327ºc""",NNC,"""1,327ºc""",16
7005,"""1,600k""",LM,"""1,600k""",12
7006,"""2,300ºf).""",RBL,"""2,300ºf).""",6
7007,"""mandushev,""",NNP,"""mandushev,""",17
7008,mahinang,JJD_CCP,hina,95
7009,paghila,JJD_CCP,hila,22
7010,itaas,JJD,taas,175
7011,nakakalabas,PRO,labas,24
7012,buntot,CCP,buntot,16
7013,"kometa.""""",NNC,"kometa.""""",6
7014,blood,NNC,blood,18
7015,grail,NNP,grail,4
7016,henry,CCB,henry,9
7017,lincoln,NNP,lincoln,5
7018,kasali,CCA,kasali,72
7019,holy,NNP,holy,25
7020,"""planeta,""",NNC,"""planeta,""",13
7021,maiinit,PRI_CCP,init,43
7022,ipaliwanag,VBOF,liwanag,141
7023,maipaliliwanag,CCR,maipaliliwanag,17
7024,delikadong,NNC,delikado,49
7025,"""kapaligiran,""",NNC,"""kapaligiran,""",47
7026,makakatulong,VBTF,tulong,201
7027,amin,PRSP,amin,224
7028,mauunawaang,RBD_CCP,mauunawaang,57
7029,pormasyon,NNP,pormasyon,21
7030,system.,NNC_CCP,system.,4
7031,"""o'donovan,""",NNP,"""o'donovan,""",4
7032,estuyanteng,NNP,estuyanteng,15
7033,gradwado,PMC,gradwado,20
7034,astronomiya,JJD_CCP,astronomiya,25
7035,teleskopyo,PRI,teleskopyo,23
7036,tres,FW,tres,31
7037,"""nagsabi,""",NNC,"""nagsabi,""",162
7038,nasusorpresa,PRP,nasusorpresa,24
7039,kalaki,VBTR,laki,24
7040,random,CCT,random,48
7041,bintang,JJD_CCP,bintang,56
7042,gail,NNP,gail,6
7043,rebuck,NNP,rebuck,10
7044,pinaniniwalaan,PRO,pinaniniwalaan,226
7045,batayan,DTC,batay,207
7046,naglimbag,NNP,limbag,25
7047,sentrong,NNP_CCP,sentro,57
7048,tema,NNC,tema,37
7049,lahi,NNC,lahi,150
7050,kasal,JJD,kasal,47
7051,hesus,NNP,hesus,11
7052,magdalena,NNP,magdalena,8
7053,tumatagal,RBW,tagal,33
7054,kathang,NNC_CCP,katha,5
7055,fiksyon,NNC,fiksyon,8
7056,36,CDB,36,68
7057,kopya,NNC,kopya,121
7058,nakaimprenta,VBTS,imprenta,10
7059,baigent,NNP,baigent,1
7060,leigh,NNP,leigh,8
7061,magkasamang,RBD_CCP,kasama,139
7062,nagsulat,VBTS,sulat,69
7063,1982,CDB,1982,18
7064,non-fiction,NNP,non-fiction,13
7065,dinala,VBTS,dala,362
7066,vinci,NNP,vinci,5
7067,istorya,NNC,istorya,34
7068,ninakaw,VBTS,nakaw,84
7069,dan,NNP,dan,31
7070,brown.,PMC,brown.,6
7071,pabalat,JJD,balat,11
7072,nobela,NNC,nobela,15
7073,nakalagay,VBTS,lagay,49
7074,longhitud,NNC,longhitud,7
7075,latitud,NNC,latitud,5
7076,koordineyt,NNC,koordineyt,16
7077,tumutumbok,VBTR_VBAF,tumbok,24
7078,punong-himpilan,RBL,himpil,41
7079,cia,CCB,cia,42
7080,"""langley,""",JJD,"""langley,""",12
7081,virginia.,NNP,virginia.,7
7082,tagapaglathala,DTCP,tagapaglathala,36
7083,aklat,NNC,aklat,131
7084,nalulungkot,VBTR,lungkot,59
7085,hbhg,NNC,hbhg,22
7086,dalhin,VBOF,dalhin,150
7087,paglilitis...ang,PRP,paglilitis...ang,26
7088,dumipensa,LM,dipensa,12
7089,sigurado,CCP,sigurado,158
7090,mananalo.,RBT,mananalo.,6
7091,mananalo,VBTF,mananalo,77
7092,pelikula;,NNC,pelikula;,18
7093,pinangungunahan,VBTR,una,155
7094,hanks,NNP,hanks,6
7095,sir,NNP,sir,15
7096,umpisa.,CCT,umpisa.,3
7097,alumni,NNC,alumni,20
7098,samahan,NNC,samahan,367
7099,george,NNP_CCP,george,94
7100,w.,NNP,w.,56
7101,h.w.,NNP,h.w.,5
7102,massachusettes,DTC,massachusettes,10
7103,kerry.,PMC,kerry.,11
7104,"""brown,""",NNP,"""brown,""",16
7105,solomon,NNP,solomon,9
7106,pinag-uusapang,VBRF,pinag-uusapang,93
7107,yale,PMS,yale,22
7108,skull,NNC_CCP,skull,21
7109,bones,CCT,bones,12
7110,society.,NNC,society.,12
7111,"""key,""",NNP,"""key,""",1
7112,wicket,NNC,wicket,13
7113,phase,NNP,phase,24
7114,cricket,NNP,cricket,30
7115,"""stadium,""",NNP,"""stadium,""",2
7116,st.,NNPA,st.,163
7117,"""george's,""",NNPA,"""george's,""",9
7118,"""grenada,""",NNP,"""grenada,""",10
7119,sinigurado,NNCA,sinigurado,10
7120,semi-pinal,VBTS,pinal,22
7121,"""laban,""",NNC,"""laban,""",70
7122,"""australia,""",CCT,"""australia,""",86
7123,sri,CCT,sri,50
7124,lanka,NNP,lanka,28
7125,koponan.,NNC,koponan.,11
7126,napag-alaman,VBTS,napag-alaman,113
7127,wikinews,NNP,wikinews,548
7128,mang-aawit,RBI_CCP,mang-aawit,54
7129,meat,PMS,meat,19
7130,loaf,VBTF,loaf,18
7131,karamdaman,DTCP,ramdam,38
7132,konsiyerto,NNC,konsiyerto,142
7133,newscastle,NNP,newscastle,22
7134,"""tyne,""",NNP,"""tyne,""",6
7135,awit,NNC,awit,15
7136,paradise,NNP,paradise,11
7137,dashboard,NNP,dashboard,1
7138,"""light,""",NNP,"""light,""",6
7139,manunood,FW,manunood,25
7140,pagtatanghal,PRSP_CCP,tanghal,79
7141,huli,CCT,huli,245
7142,karera.,DTC,karera.,56
7143,insidente,LM,insidente,572
7144,makaraan,VBW,kara,39
7145,undas.,NNP,undas.,4
7146,matalo,RBW,talo,85
7147,masigurado,VBW,masigurado,34
7148,pagpapatuloy.,NNC,pagpapatuloy.,5
7149,sinubukan,VBOF,sinubukan,122
7150,awitin,NNC,awit,71
7151,"""kanta,""",NNC,"""kanta,""",11
7152,binibini,DTP,binibini,23
7153,"""ginoo,""",CCA,"""ginoo,""",11
7154,"""kayo,""",VBS,"""kayo,""",14
7155,nagpapasalamat,VBTR,salamat,22
7156,"""pagdating,""",CCP,"""pagdating,""",49
7157,"magpatuloy.""""",RBF,"magpatuloy.""""",6
7158,huhubarin,PMS,huhubarin,6
7159,kapa;,PRSP_CCP,kapa;,24
7160,yuyuko;,PRS,yuyuko;,19
7161,sasabihin,CCP,sabi,44
7162,paalam,CCA,paalam,14
7163,manunuod,DTCP,manunuod,81
7164,"""buhay,""""""",PRSP_CCP,"""buhay,""""""",43
7165,bumaba,DTCP,baba,237
7166,entablado.,PRS,entablado.,6
7167,"""pinagdausan,""",VBRF,"""pinagdausan,""",7
7168,pananakit,NNC,pananakit,40
7169,lalamunan.,VBTF,lalamunan.,5
7170,nag-iskedyul,VBTS,iskedyul,6
7171,eleksyong,NNC_CCP,eleksyong,47
7172,gaganapin,PMS,ganap,159
7173,iskedyul,RBD,iskedyul,62
7174,2006.,PMC,2006.,51
7175,banda.,NNC,banda.,10
7176,tagahanga,CCP,tagahanga,88
7177,"""ibinayad,""",PRSP_CCP,"""ibinayad,""",27
7178,halagang,NNC_CCP,halaga,140
7179,£,PMS,£,217
7180,37.50,RBL,37.50,24
7181,"""45,""",PMP,"""45,""",12
7182,nagpalabas,VBTS,labas,202
7183,oras.,CCB,oras.,62
7184,pedro,NNP,pedro,8
7185,"""lopes,""",DTP,"""lopes,""",13
7186,"""gabinete,""",NNC,"""gabinete,""",72
7187,disolbahin,NNP,disolbahin,24
7188,jorge,DTP,jorge,15
7189,sampaio,NNC,sampaio,16
7190,parliyamento,CCT,parliyamento,160
7191,nasyon,NNC,nasyon,5
7192,europa.,VBTS,europa.,21
7193,santana,NNC,santana,7
7194,iskultura,NNC,iskultura,40
7195,kinumpiska,NNC,kinumpiska,32
7196,labingtatlong,NNC_CCP,labingtatlong,20
7197,maka-demokrasyang,JJD,maka-demokrasyang,21
7198,"""hongkong,""",VBTS,"""hongkong,""",22
7199,nilarawan,PMC,larawan,22
7200,"pulitikal""""",PMS,"pulitikal""""",16
7201,panunuri.,CCB,panunuri.,5
7202,panunungkulan,NNC,panunungkulan,29
7203,akusasyon,PMSC,akusasyon,58
7204,pag-sensor,CCA,pag-sensor,9
7205,dinisolba,CCR,dinisolba,10
7206,kredibilidad,NNC,kredibilidad,16
7207,"""iskultura,""",NNC,"""iskultura,""",17
7208,kahalintulad,JJC,halintulad,58
7209,diyosa,PMS,diyosa,13
7210,"demokrasya""""",CCB,"demokrasya""""",10
7211,tiananmen,NNC_CCP,tiananmen,17
7212,massacre,PMS,massacre,5
7213,"""relief"""",""",NNP,"""relief"""",""",3
7214,piazza,NNC,piazza,32
7215,square,PMS,square,86
7216,pamilihan,NNC,pamilihan,244
7217,hongkong,DTC,hongkong,30
7218,pag-alala,CCR,alala,46
7219,ika-21,JJN,ika-21,153
7220,plasa,JJN,plasa,10
7221,tiananmen.,CDB,tiananmen.,4
7222,reklamo,NNC,reklamo,146
7223,patriotic,PMS,patriotic,3
7224,"""china,""",NNP,"""china,""",28
7225,"alliance""""",PMS,"alliance""""",13
7226,humigi,PMC,humigi,27
7227,pahintulot,NNC,pahintulot,168
7228,daanan,NNC,daanan,149
7229,itinalaga,PMC,talaga,76
7230,pang-araw-araw,PRSP_CCP,araw,24
7231,pamilihan.,VBTR,pamilihan.,3
7232,inalis,LM,inalis,224
7233,kasalukuyan,LM,kasalukuyan,222
7234,pangangalaga,JJCS_JJD,pangangalaga,126
7235,excise,NNP,excise,1
7236,c&ed).,NNP,c&ed).,1
7237,pag,CCR,pag,1334
7238,kawani,NNC,kawani,179
7239,environmental,NNP,environmental,6
7240,humalang,VBAF,hala,6
7241,paglapit,NNC,lapit,25
7242,hinahadlangan,LM,hadlang,41
7243,"""aresto,""",NNC,"""aresto,""",22
7244,lehislador,DTC,lehislador,16
7245,paghadlang,CCT,hadlang,15
7246,pagtupad,VBTR_VBAF,tupad,52
7247,sekretarya,JJD_CCP,sekretarya,87
7248,albert,DTP,albert,19
7249,ho,NNP,ho,5
7250,pigilin,PRSP_CCP,pigil,101
7251,"""pa,""",VBTR_VBAF,"""pa,""",181
7252,...ay,CCA,...ay,21
7253,kailanman,NNC,kailanman,158
7254,tinrato,FW,tinrato,7
7255,napaka-barbariko,PMS,napaka-barbariko,2
7256,"napakarahas...""""",RBF,"napakarahas...""""",2
7257,naaresto,JJCC,aresto,225
7258,nailabas,VBTS,labas,30
7259,piyansa,NNC,piyansa,8
7260,pangalawang-tagapangulo,JJN_CCP,pangalawang-tagapangulo,16
7261,cheuk-yan,DTP,yan,12
7262,c&ed,CCP,c&ed,21
7263,"""pangkaraniwan,""",LM,"""pangkaraniwan,""",51
7264,tinawagan,PMC,tawag,95
7265,pinipilit,VBTR,pilit,51
7266,insidenteng,PMS,insidenteng,70
7267,square.,NNP,square.,12
7268,tinatamasa,VBTR,tamasa,39
7269,kanluraning-estilo,DTC,estilo,26
7270,pakikipag,NNC,pakikipag,59
7271,ayos,NNC,ayos,26
7272,apoy,DTC,apoy,112
7273,silid,VBTS,silid,53
7274,hugasan,NNC,hugas,1
7275,leighton,NNP,leighton,5
7276,"""buzzard,""",NNP,"""buzzard,""",2
7277,"""bedfordshire,""",CCT,"""bedfordshire,""",4
7278,special,NNP,special,29
7279,people's,CCB,people's,100
7280,republic,NNP,republic,67
7281,sar).,NNP,sar).,1
7282,pang-transportasyon,NNP,transportasyon,3
7283,sunog.,CCT,sunog.,12
7284,emerhensyang,NNC_CCP,emerhensyang,75
7285,papunta,VBW,punta,260
7286,"""midland,""",NNP,"""midland,""",6
7287,nagtamo,CCP,tamo,153
7288,paso.,CCB,paso.,3
7289,midland,NNP,midland,18
7290,tagapagsalita:,NNC,tagapagsalita:,15
7291,kaugnay,JJC,ugnay,158
7292,"""pagkasunog,""",CCT,"""pagkasunog,""",20
7293,nasangkot,NNPA,sangkot,46
7294,"insidente.""""",VBTS,"insidente.""""",6
7295,zulia,NNP,zulia,12
7296,reserbang,JJD_CCP,reserba,18
7297,venezuela,DTC,venezuela,67
7298,pinamamahalaan,NNC,pamahalaan,61
7299,"""rosales,""",NNP,"""rosales,""",7
7300,kaibigan,NNC,kaibigan,149
7301,manuel,NNP,manuel,3
7302,pinangyarihan.,VBTS,pinangyarihan.,34
7303,seryosong,JJD_CCP,seryoso,236
7304,pagkaputol,NNC,putol,17
7305,unyong,NNC,unyong,32
7306,sunshine,CCB,sunshine,69
7307,stadium,PMC,stadium,5
7308,"""queensland,""",PMC,"""queensland,""",55
7309,sabado.,NNP,sabado.,16
7310,rail,NNP,rail,12
7311,mabuksan,CCT,mabuksan,111
7312,nagkakagulo,VBTR,gulo,19
7313,pag-aayos,CCR,pag-aayos,83
7314,ipapalit,NNC,palit,21
7315,bus.,NNC,bus.,14
7316,"""pagkarating,""",VBW,"""pagkarating,""",6
7317,pagsasagupa,JJN_CCP,sagupa,21
7318,toowoomba,CCA,toowoomba,2
7319,army.,NNP,army.,1
7320,nanalo,CCP,nanalo,596
7321,paligsahang,JJN_CCP,paligsahang,54
7322,26,NNC,26,90
7323,"""15,""",CDB,"""15,""",18
7324,pagitang,VBH,ita,11
7325,imperiyalista,NNC,imperiyalista,24
7326,nagpipilit,LM,pilit,41
7327,porma,NNC,porma,9
7328,"""pagkilos,""",LM,"""pagkilos,""",46
7329,nagnanais,VBTR,nais,196
7330,makontrol,VBOF,kontrol,25
7331,"""banyo,""""""",NNC,"""banyo,""""""",7
7332,tagapagsalita.,CCP,tagapagsalita.,18
7333,caloundra,NNP,caloundra,16
7334,konbertibong,JJD_CCP,konbertibong,11
7335,pagsubok.,NNC,pagsubok.,5
7336,a-grade,NNP,grade,9
7337,makumpleto,CCP,kumpleto,60
7338,kababaihan.,NNC,kababaihan.,9
7339,nakapaglagay,VBTS,lagay,6
7340,kalahating,JJD_CCP,kalahating,319
7341,magkapuntos,VBW,puntos,14
7342,university.,NNP,university.,6
7343,stingrays,CDB,stingrays,11
7344,premier,NNP,premier,2
7345,sunnybank,NNP,sunnybank,34
7346,iskor,CCA,iskor,119
7347,6.,CDB,6.,9
7348,pahuling,RBW_CCP,huli,33
7349,pagpabor,CCT,pabor,7
7350,tagaroon,CCT,tagaroon,7
7351,jayakumar,NNP,jayakumar,1
7352,"""christian,""",NNP,"""christian,""",3
7353,direktor,DTP,direktor,412
7354,vision,NNP,vision,3
7355,"""rehiyon,""",DTCP,"""rehiyon,""",48
7356,tagtuyot,NNP,tagtuyot,31
7357,nakapigil,PMC,pigil,28
7358,kahirapan,NNC,hirap,76
7359,"na.""""",PMC,"na.""""",15
7360,"""india,""",NNP,"""india,""",24
7361,nakaapekto,VBTS,apekto,99
7362,tinataya,VBTR,taya,5
7363,andra,CCT,andra,15
7364,"""pradesh,""",NNP,"""pradesh,""",6
7365,pinaka-naapektuhan,CCP,pinaka-naapektuhan,27
7366,"""900,000""",CDB,"""900,000""",18
7367,tonelada.,JJD,tonelada.,4
7368,panglinyang,NNC_CCP,panglinyang,7
7369,paghagis,NNC,hagis,10
7370,pagsalo,NNC,salo,7
7371,patimpalak,NNC,timpalak,11
7372,nakasira,CCP,sira,78
7373,butil.,NNC,butil.,1
7374,produksyong,NNC_CCP,produksyong,14
7375,agrikultural,PMC,agrikultural,18
7376,lubha,PRS,lubha,82
7377,dulot,CCP,dulot,77
7378,sakahan,NNC,saka,67
7379,pananim.,NNC,pananim.,2
7380,pradesh,NNP,pradesh,6
7381,kalapit,JJD,lapit,264
7382,"""karnataka,""",CCP,"""karnataka,""",25
7383,daang,CCP,daang,201
7384,puwersahang,RBF,puwersahang,57
7385,group,NNP,group,32
7386,ministers,NNP,ministers,3
7387,gom),NNP,gom),6
7388,binuo,CCP,binuo,212
7389,pamahalaang,DTC,pamahalaang,98
7390,unyon,PMC,unyon,283
7391,sumang-ayon,VBAF,sang-ayon,110
7392,radyo,NNC,radyo,77
7393,magpatakbo,RBT_CCP,takbo,39
7394,india.,PMC,india.,41
7395,gom,NNP,gom,21
7396,nagmungkahi,VBTR,mungkahi,57
7397,"""unibersidad,""",CCB,"""unibersidad,""",29
7398,nakarehistradong,DTCP,nakarehistradong,18
7399,"""trusts,""",JJD_CCP,"""trusts,""",22
7400,ngo,RBI_CCP,ngo,41
7401,payagang,CCP,payagang,52
7402,gayong,CCB,gayong,141
7403,istasyon.,CCB,istasyon.,11
7404,gayunding,NNP,gayunding,79
7405,window,FW,window,8
7406,clearance,VBTR_CCP,clearance,36
7407,payagan,CCA,payag,89
7408,"""network,""",CCT,"""network,""",52
7409,kasiguruhang,VBH,kasiguruhang,27
7410,kinakailangang,RBW,kinakailangang,227
7411,maibigay,NNPA,bigay,69
7412,pagpapa-talastas,NNC,pagpapa-talastas,7
7413,pagpapahayag.,NNC,pagpapahayag.,3
7414,"""mungkahi,""",RBW,"""mungkahi,""",22
7415,konseptong,CCP,konsepto,23
7416,magpapasimula,PRO,simula,25
7417,rebolusyon,PMC,rebolusyon,99
7418,magpapalakas,NNC,lakas,20
7419,taga,JJD,taga,569
7420,"""kolumnista,""",NNC,"""kolumnista,""",5
7421,bumibisitang,NNC,bisita,25
7422,propesor,NNP,propesor,158
7423,b,JJN_CCP,b,45
7424,g,PMC,g,3
7425,verghese,NNP,verghese,1
7426,klase,CCT,klase,187
7427,mong,NNP,mong,131
7428,ipaalam,VBOF,paalam,81
7429,anuman,VBN_CCP,anuman,103
7430,"""kanila,""",NNC,"""kanila,""",102
7431,"kalusugan.""""",LM,"kalusugan.""""",6
7432,posibilidad,NNC,posibilidad,292
7433,maiharap,VBW,harap,21
7434,mangyari.,CCP,mangyari.,15
7435,magamit,LM,magamit,275
7436,rebolusyonaryong,JJD_CCP,rebolusyonaryong,47
7437,makipagkumpromiso,VBW,makipagkumpromiso,15
